,职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
198,NLP算法工程师,天天拍车数据中心招聘,20k-40k,/上海 /,经验3-5年 /,硕士及以上 /,全职,"
亿级数据量 技术VP直带团队","
NLP算法工程师
公司现在正在组建算法团队，Team规模前期规划12-16人，数据AI对公司未来发展方向至关重要，这个部门会直接汇报给技术VP，AI项目全部需要在亿级数据体量上完成。

岗位职责：
1、负责排序&推荐引擎，用户画像，机器学习定价等机器学习模型的构建，并将技术应用在数据预测、自然语言处理、用户画像等公司业务中
2、根据业务需求完成数学建模，并设计、开发高效算法；
3、对模型及算法进行验证和实现，解决实际业务问题；
4、关注人工智能相关算法新趋势，并结合公司业务情况进行技术预研。

任职要求：
1、本科及以上学历，数学、计算机相关专业优先,在机器学习或数据挖掘方向有较强的积累；
2、2年以上NLP工作经验，有海量数据挖掘、知识图谱研发经验优先；
3、精通C、C++/java/Python中至少一门编程语言，熟悉Deep Learning及掌握TensorFlow，Caffe等其一者优先；
4、在文本分析、词性标注、新词发现、词义消歧等领域有丰富经验优先
5、熟悉经典的算法并有实践经验，包括但不限于LR、SVM、GBDT、Reinforcement Learning、Deep Learning；
6、对技术有兴趣，学习能力强。","上海 - 闵行区 - 龙柏 - 合川路3111号近铁虹桥中心2号楼8楼
","天天拍车
移动互联网,电商
D轮及以上
汽车之家(D轮及以上)，兴业银行、高达、汉富、易车网、腾讯(C轮)，天天拍车获得易车网、腾讯、软银中国、海纳亚洲、德同资本、方广资本等A+B轮融资(B轮)
2000人以上
http://www.ttpai.cn/"
199,NLP算法工程师,美篇招聘,25k-50k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
弹性工作,扁平管理,牛人多","
【岗位职责】
1、构建文章和图片等内容的质量体系和标签体系
2、对文本和图片的进行语义分析，完成内容结构化表示
3、跟踪业界nlp方向算法，并将其应用于生产环境
  【岗位要求】
1、熟练一种或多种语言编程的经验：python、c++等
2、熟悉常见的textcnn/svm/lda等文本相关算法
3、拥有以下任何方面的经验：机器学习、深度学习、、图片处理、自然语言理解
4、了解文本语义embedding抽取方法者优先
5、有良好的团队协作意识
   ","北京 - 海淀区 - 知春路 - 知春路量子芯座20层
","美篇
移动互联网,社交
B轮
芒果文创基金、经纬创投、真格基金(B轮)，经纬创投、真格基金(A轮)，真格基金(A轮)
50-150人
https://www.meipian.cn"
200,广告系统AI工程师-CV/NLP/...,字节跳动招聘,25k-50k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
六险一金，弹性工作，免费三餐，餐补","
职位职责：
1、利用机器学习技术，改进头条的推荐、广告系统，优化数亿用户的阅读体验；
2、分析基础数据，挖掘用户兴趣、文章价值，增强推荐、广告系统的预测能力；
3、分析用户商业意图，挖掘流量潜在商业价值，提升流量变现；
4、研究计算机视觉算法，给用户提供更多更酷炫的功能；
5、研发机器翻译与对话技术，促进跨语言内容理解与交流。

职位要求：
1、本科及以上学历，计算机、机器学习和模式识别相关专业；
2、热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣；
3、具备强悍的编码能力，熟悉 linux 开发环境，熟悉 C++ 和 Python 语言优先；
4、有扎实的数据结构和算法功底，熟悉机器学习、自然语言处理、数据挖掘、分布式计算、计算机视觉、计算机图形、语音识别与合成中一项或多项；
5、对推荐系统、计算广告、搜索引擎、对话问答、图像和视频分析处理相关技术有经验者优先；
6、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。","上海 - 徐汇区 - 田林路130号20号楼氪空间
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
201,自然语言处理专家-杭州-00145,同盾科技反欺诈事业部招聘,35k-50k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
技术大牛 弹性工作 全员mac","

负责自然语言处理、语音处理相关算法落地工作，从事核心开发工作，带领工程师解决算法问题。
1. 负责自然语言处理算法相关底层技术和平台的研究与实现； 
2. 负责面向具体业务的语义分析、知识库建立、知识推理等事宜的方法和实践； 
3. 从系统应用的角度，在大数据环境下利用数据挖掘、深度学习的理论和方法解决实际问题； 
4. 具备一定的带队能力，能够带领一支小而精的团队根据需求快速迭代推进项目。

职位要求：
1.数学、统计学、计算机、信号处理等专业硕士以上，具备深厚NLP算法工作经验，具备扎实的数据挖掘/机器学习相关数学基础；
2.熟悉数据挖掘方法，熟悉各类常规机器学习算法，能够解决分类、聚类、回归等常见数据挖掘问题，具备算法实现能力，具备一定的算法研究和改进能力；
3.熟悉深度学习理论和算法，包括CNN、RNN、LSTM等，熟悉Tensorflow等主流算法开发应用平台；
4.理解文本、语音数据的结构特点，有一定的语言学功底，根据业务特点进行数据抽象和建模；
5.至少熟悉C++、Python、Java中的一种；
6.具备英文专业文献阅读能力，能自觉跟踪发展现状，理解算法原理，并进行落地实现；
7.工作有激情，勇于挑战，有责任心，具备良好的沟通能力、时间管理能力和团队协作意识。","杭州 - 余杭区 - 仓前 - 文一西路998号海创园18号楼209-211室
","同盾科技
信息安全,数据服务
C轮
信达汉石资本、天图资本、新加坡淡马锡三家机构共同领投，尚珹资本等老股东跟投(C轮)，B+轮尚珹资本领投，元禾重元跟投；启明创投、宽带资本、华创资本、IDG资本、线性资本等均参与此轮融资(B轮)，启明创投领投，宽带资本、IDG资本、华创资本及线性资本跟投(B轮)，宽带资本领投、IDG资本、线性资本跟投(A轮)，IDG资本、华创资本投资(天使轮)
500-2000人
https://www.tongdun.net/"
202,自然语言处理研发工程师（NLP）,vivo互联网软件二部招聘,30k-55k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
平台大,海量用户,技术氛围好,个人成长快","
岗位职责：
1、负责自然语言处理相关产品和项目的技术方案设计、开发实现、效果评估和持续优化；
2、负责研究机器学习与深度学习在自然语言处理领域的端到端解决方案并落地；
3、负责智能搜索、问答、对话相关的算法与系统实现。

任职要求：
1、本科及以上学历，3年以上开发经验，其中至少1年及以上自然语言处理相关项目开发经验；
2、有丰富的Java或Python编程经验，及扎实的算法与数据结构功底，优秀的机器学习基础，良好的数学和统计基础；
3、有良好的自然语言处理理论和方法基础，精通词法分析、句法分析、依存分析、文本分类聚类、信息检索、相似度计算等知识领域及其工程实现；
4、熟悉Hadoop,Spark，Tensorflow等，对机器学习和深度学习在NLP领域的应用有一定的经验和个人见解，能从业务场景中精确识别问题模式并应用相应的模型和算法来解决问题，并有能力建立合理的评价指标来持续优化；
5、有智能搜索、问答、多轮对话或知识图谱相关经验优先；有优秀论文发表者优先。
6、良好的理解与表达能力，优秀的团队合作和自我驱动能力。","深圳 - 宝安区 - 新安 - 壹方中心
","vivo
硬件
未融资
2000人以上
http://hr.vivo.com.cn/"
203,自然语言处理（NLP）算法工程...,八爪鱼技术中心招聘,30k-50k,/深圳 /,经验3-5年 /,博士及以上 /,全职,"
大数据独角兽 技术领先 团队专业","
岗位职责：研究深度学习算法和自然语言处理（中文），利用NLP相关技术、深度学习理论和方法解决实际问题，改进云听CEM产品；
人才标准：全球知名高校、国内985高校博士及以上学历，NLP/人工智能、计算机、数学等相关专业/研究方向。有知名企业的NLP/机器学习/人工智能等项目经历，或直接参与过相关项目/课题研究的人才优先考虑；

符合以下标准优先考虑：
有知名企业的NLP/机器学习/人工智能项目经历，或直接参与过相关研究项目；
有机器学习知识背景，熟悉深度神经网络模型（如DNN、RNN、LSTM）；
熟悉基于统计和句法的自然语言处理方法；
熟悉大规模数据挖掘、机器学习、分布式计算等相关技术；
NLP项目相关方向：分词、词性标注、关键词抽取、文本分类、实体识别、信息抽取、情感分析。

职位待遇及发展：
月薪30-50K+丰厚年终奖+百万以上期权； 
优秀人才可任命为公司科学家，纳入核心人才发展计划：优先提供团队晋升、对外商演及团队展示、打造个人品牌等机会。

职位亮点：
1、品牌优势：
国内知名大数据、人工智能准独角兽企业，已完成中信资本在内的4轮融资，并已实现盈利；
八爪鱼数据采集器全球知名度领先，连续4年大数据企业排行榜数据收集第一名；
2、团队优势：
硅谷文化、核心团队来自Morningstar、百度、IBM、极光等全球知名企业，战略明确，战斗力强、创始团队零流失；
团队百余人中，本科以上学历占95%+，985、211、海外名校优秀人才云集；
3、产品优势：
自主开发的大数据产品八爪鱼，已持续服务于全球数百万用户、中英日三种语言市场排名第一；
2018年研发上线的大数据人工智能平台云听CEM，是国内领先的基于大数据和自然语言处理（NLP）技术，满足品牌企业客户体验管理（CEM）管理需求，已覆盖消费、电子、日化等多个行业，获得科沃斯机器人、联合利华、OPPO、VIVO、创维等几十家行业头部客户认可，上线第一年已支撑数千万营收；","深圳 - 南山区 - 科技园中区长园新材料港10栋一楼
","八爪鱼
数据服务
A轮
中信资本(A轮)，北京拓尔思信息技术股份有限公司(天使轮)
50-150人
http://www.bazhuayu.com"
204,自然语言处理算法工程师,丁香园技术产品部招聘,15k-30k,/杭州 /,经验1-3年 /,本科及以上 /,全职,"
发展空间大、团队nice、行业前景优","

1、结合业务（内部或者外部），理解算法需求，完成实施策略等相关算法设计与开发；
2、研究专业领域知识抽取方法，支持医学知识图谱构建；
3、基于自然语言处理技术和机器学习方法，进行查询理解和用户意图分析，相关性计算法和排序优化；
4、机器阅读理解和自动摘要研究，挖掘更多的智能问答产品形态；
  任职条件：
1、具有计算机科学、统计学、数学、自动化等相关学历及专业背景，在数据挖掘、机器学习相关领域具有1年以上学习\研究\研发经历；
2、熟悉 Python/Java语言，编程基本功扎实；
3、熟练掌握分类、回归、聚类等常规机器学习方法；
4、熟练掌握深度学习框架，熟悉文本分析、信息抽取、情感分析技术
5、在以下任一领域有良好的研究经历或项目经验：
智能问答、知识图谱、信息检索、自然语言处理、深度学习等；
6、具有团队协作能力，有钻研精神，乐于成为领域专家。","杭州 - 滨江区 - 江虹路611号上峰电商产业园3号楼3楼
","丁香园
医疗丨健康,企业服务
D轮及以上
500-2000人
http://www.dxy.cn/"
205,1111BF-自然语言处理算法工...,平安科技平安科技智能引擎部招聘,25k-50k,/北京 /,经验3-5年 /,硕士及以上 /,全职,"
五险一金,绩效奖金,带薪年假,定期体检","
工作职责
工作职责：
1、 根据平安业务场景，提供人工智能解决方案。
2、 利用自然语言处理技术和语义分析方法实现相关模型的建立与实践。
3、参与相关项目工作，包括意图分析、序列标注、相似度计算、引擎开发、上下文对话理解、任务型多轮问答等。
4、负责大规模文本数据处理，包括分类、聚类、信息抽取、知识图谱构建等。
任职要求
岗位要求：
1. 计算机相关专业，硕士及以上学历。
2. 熟悉自然语言处理、机器学习、深度学习等常用算法，熟悉NLP领域前沿技术，对NLP有系统的认知。
3、有Tensorflow、Caffe等深度学习框架与自然语言处理结合实际项目经验者优先。
4、熟悉面向文本的CNN、RNN、LSTM、Seq2Seq、GAN等模型者优先。
5、在文本处理、知识图谱、智能问答、搜索引擎等领域有实际项目经验者优先。","北京 - 朝阳区 - 北京市朝阳区亮马桥平安国际金融中心A座
","平安科技
金融
不需要融资
2000人以上
http://tech.pingan.com/in..."
206,nlp算法,力拓飞远招聘,20k-40k,/北京 /,经验1-3年 /,硕士及以上 /,全职,"
五险一金、带薪年假、免费下午茶","

1、负责UGC内容进行处理，包括文本分类与聚类、情感分析、热点发现、实体识别、关键词抽取等；
2、负责自然语言处理相关底层技术和平台的研究与实现、改进和应用；
3、负责面向问答技术的语义分析、知识库建立、信息抽取等事宜的方法和实践；
4、负责NLP前沿问题的研究，结合未来实际应用场景，提供技术解决方案。
岗位要求：
1、计算机／数学／统计学／模式识别相关专业，硕士以上学历，计算机科学、机器学习、人工智能等专业博士优先；
2、熟悉NLP和机器学习的理论基础，有海量数据挖掘、知识图谱研发经验优先；
3、具有优秀的编程能力，精通Python以及常用脚本语言；
4、在文本分析、词性标注、新词发现、词义消歧等领域有丰富经验优先；
5、具有良好的数学基础，良好的英语阅读能力；
6、有强烈求知欲，对人工智能领域相关技术有热情；
7、责任心强，积极主动，有良好的沟通能力和团队合作能力；","北京 - 海淀区 - 盈都大厦B座 7B
","力拓飞远
移动互联网,消费生活
A轮
50-150人
http://www.xxwolo.com"
207,高级NLP工程师,数旦信息研发招聘,30k-40k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
丰厚期权, 丰厚奖金,高成长,金融科技","
职位亮点：丰厚期权激励，丰厚年终奖金，高速成长，金融科技
岗位职责：
1、负责NLP相关的软件开发和工程应用
2、负责NLP相关技术栈的研究和选型
3、负责NLP相关的数据处理
任职资格：
1、名校本科及以上学历，计算机、数学或相关专业
2、3年以上NLP相关工作经验
3、精通NLP常见算法，具备分词、命名实体识别、情感分析、信息抽取、文本聚类、知识图谱等领域的实际研发经验，精通具体的算法逻辑和数学原理；
4、精通深度学习技术在NLP领域的应用
5、具备极强的编程能力、学习能力和抗压能力
6、国家级技术类竞赛一等奖获奖者优先","上海 - 徐汇区 - 漕河泾 - 钦州路100号
","数旦信息
移动互联网,金融
A轮
蚂蚁金服、线性资本(A轮)
15-50人
http://afa.ai"
208,机器学习/数据挖掘/NLP资深...,阿里巴巴-高德招聘,15k-30k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
发展前景","
岗位描述：
1. 负责高德地图推荐系统的搭建和维护
2. 负责大规模机器学习建模和优化推荐服务，选择合理的算法提升推荐效果
3. 参与用户行为分析和挖掘，为算法和业务场景提供支持""
岗位要求：
1、熟悉常用算法和数据结构，有很强的代码能力，至少熟悉python/c++/java中的一种
2、理解机器学习基本算法的设计思想和求解手段，如SVM, LR, RF, Boosting等。有大规模机器学习系统研发经验或机器学习算法优化理论的研究经验者优先
3、有广告系统、推荐系统等相关技术的研究或实践经验者优先""","北京 - 朝阳区 - 望京 - 阜荣街10号首开广场
","阿里巴巴-高德
工具
上市公司
2000人以上
http://ditu.amap.com/"
209,NLP算法工程师,大专家.COM研究院招聘,20k-40k,/上海 /,经验1-3年 /,硕士及以上 /,全职,"
最高6个月年终,环境好,氛围好","
岗位职责：

1，负责研究适用于医疗大数据的人工智能和机器学习（深度学习）算法，提高AI在疾病感知、预测和推荐方面的能力；

2，参与医疗AI项目的研发，与数据科学家合作完成创新技术向应用成果的转化；

3，参与和外部研究机构的学术合作，共同研发创新AI算法；

任职要求：

1.计算机、统计学、数学等相关专业硕士及以上学历

2.对人工智能和机器学习（深度学习）算法有浓厚的兴趣和深入的研究经验；

3.良好的逻辑思维能力与创新能力；良好的表达能力，可以清晰阐述自己的观点；良好的团队合作能力","上海 - 松江区 - 莘砖公路650号双子楼B栋19F
","大专家.COM
医疗丨健康,数据服务
B轮
150-500人
http://www.dazhuanjia.com"
210,NLP算法工程师(J12588),作业帮技术部招聘,30k-50k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
平台好 福利好","
工作职责:
1.深入自然语言处理相关的核心技术研究，如对话系统、问答系统、阅读理解等NLP技术。
2.对学生学习进度、能力进行刻画，找出用户薄弱点。进行个性化推荐
3.用机器学习/深度学习等技术解决分层模型、点击预估等业务问题
4.将自然语言技术应用具体业务中，包括智能客服、班主任人效提升等
任职资格:
1. 精通c++/python/shell等常用语言，对数据结构和算法设计有较为深刻的理解
2. 有2年以上的有机器学习/自然语言处理/数据挖掘经验，算法能力强
3.具有较强问题拆解能力，以及case分析，并能给出解决方案
4.具备良好的时间和流程意识，能够针对需求和目标给出合理的解决方案及排期","北京 - 海淀区 - 西北旺 - 信息路18号上地创新大厦
","作业帮
工具
D轮及以上
Coatue、高盛、春华资本、红杉中国、GGV纪源资本、襄禾资本、天图投资、NEA、泰合资本(D轮及以上)，H Capital、老虎基金、红杉、君联、GGV、襄禾(C轮)，GGV（纪源资本）(B轮)，作业帮独立分拆，引入由红杉、君联领投的A轮融资(A轮)
2000人以上
http://www.zybang.com"
211,自然语言处理算法工程师,智言科技算法部招聘,20k-40k,/深圳 /,经验3-5年 /,硕士及以上 /,全职,"
周末双休,六险一金,博士团队,丰厚期权","
岗位职责：
1. 参与问答和对话系统的算法设计与开发，包括但不限于自然语言处理，信息抽取，语义理解，知识图谱等NLP前沿技术；
2. 追踪和落地相关前沿技术和学术论文(深度学习等)，对模型进行优化和性能提升；
3. 参与和构建相关算法的API和工具包。

岗位要求：
1. 计算机或相关专业的硕士或者博士；
2. 熟悉自然语言处理、机器学习、深度学习、强化学习等相关算法，对自然语言处理方向有较深和全面的认识；
3. 了解深度学习在自然语言处理方向的相关算法和框架，有Tensorflow, Theano, Keras项目实战经验的优先；
4. 有智能问答、语义理解、知识图谱、推荐系统等相关方向实战经验的优先；
5. 至少精通C、C++、Python、Java或者其他语言中的一种，有较强的编程能力；
6. 具有科学探索精神和团队协作能力。","深圳 - 南山区 - 大冲 - 先健科技大厦
","智言科技
数据服务,其他
B轮
50-150人
http://www.webot.ai"
212,自然语言处理算法工程师,联想集团招聘,20k-35k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
500强平台，福利待遇好","
Position Description:
1.      运用机器学习、自然语言处理等技术，从大量文献中抽取有价值的内容，并自动生成摘要/缩写/提纲等；
2.      运用自然语言处理、文本生成等技术，自动生成公告、报道、新闻稿、会议纪要等格式文档；
3.      运用自然语言处理、语义理解等技术，对新闻进行自动分类、核心关键词抽取、情感语义分析等。
  Position Requirements:
1.      计算机相关专业本科以上学历；
2.      熟悉机器学习、自然语言基础算法和模型，有深度学习项目经验者优先；
3.      熟悉自然语言处理常见算法与模型（语言模型、CRF、LDA、word2vector、CNN/RNN等）；
4.      熟练掌握Python、C++、Java等其中的一种或几种，熟悉Linux下脚本语言Shell、Awk等；
5.      有国内大型互联网公司从业经验者优先。","北京 - 海淀区 - 联想总部(北京)园区
","联想集团
移动互联网,数据服务
上市公司
2000人以上
http://www.lenovo.com"
213,自然语言（NLP）算法工程师,八爪鱼招聘,13k-25k,/深圳 /,经验1-3年 /,本科及以上 /,全职,"
AI+大数据；氛围活跃；周末双休；","
岗位职责:
1、研究深度学习算法和自然语言处理（中文），进行大规模数据文本的特征分析提取建模；
2、利用NLP相关技术、深度学习理论和方法解决实际问题，改进产品功能；

 任职要求:
1、本科及以上学历，计算机相关专业；
2、熟悉基于统计和基于句法的自然语言处理方法，并具有在分词、词性标注、关键词抽取、文本分类、实体识别、信息抽取、情感分析等NLP领域实际项目开发工作经验；
3、有机器学习知识背景，熟悉深度神经网络模型（如DNN、RNN、LSTM）者优先；
4、熟悉大规模数据挖掘、机器学习、分布式计算等相关技术，并具备多年的实际工作经验者优先；
5、有使用Hadoop、Spark等分布式开发环境者优先;
6、对未知领域有一定的学习和研究能力，并持续改进现有流程和方法；
 
职位亮点：
1、公司组织架构扁平、流程及制度完善，员工整体素质高；
2、企业重视人才、培养人才、信任人才，双职业发展通道+员工职业规划指导；
3、福利优厚：入职即享五险一金（一档），长期提供免费零食泡面咖啡饮品下午茶，节日礼品丰厚，带薪年假+国家法定假+个人法定假+入职4年享研修假（30天），年度旅游+体检，周末双休+不打卡+加班调休及补贴······","深圳 - 南山区 - 科技园中区长园新材料港10栋一楼
","八爪鱼
数据服务
A轮
中信资本(A轮)，北京拓尔思信息技术股份有限公司(天使轮)
50-150人
http://www.bazhuayu.com"
214,资深NLP工程师 （自然语言处理）,速科技招聘,30k-60k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
六险一金 年度旅游 年度体检","
岗位职责:
1、负责自然语言处理相关底层技术和平台的研究与实现；
2、为推荐、搜索、问答等功能设计和实现高质量的基础特征（Category,Topic, Entity等）；
3、对用户以及用户的反馈（动作、评论）建模，快速定位问题与收集数据，设计解决方案，提升产品体验；
4、负责面向问答技术的语义分析、知识库建立、信息抽取等事宜的方法和实践；
5、文章或图片搜索策略业务优化；
6、负责相关性，排序模型特征，query改写，query纠错，相关query推荐等搜索相关策略的优化；
7、从系统应用的角度，在大数据环境下利用语言分析基础技术解决实际问题。


任职资格:
1、3~5年以上自然语言处理经验包括语法分析、句法分析、语义表示、知识抽取、搜索引擎、对话系统等；
2、扎实的编程基础，至少精通一种编程语言，如C/C++，Java，python等；
3、熟悉深度学习以及常见机器学习算法的原理与算法，能熟练运用聚类、分类、回归、排序等模型解决有挑战性的问题；
4、对自然语言处理相关的分词、词性标注、实体识别、句法分析、语义分析等有深入的实践经验；
5、了解深度学习在自然语言处理方向的相关算法和框架，有Tensorflow, Theano, Keras项目实战经验的优先；
6、具有良好的数学基础，良好的英语阅读能力；
7、有团队意识，与他人合作良好，具有团队管理的经验；","深圳 - 南山区 - 科技园 - 科兴科学园B3
","速科技
移动互联网
C轮
150-500人
https://hr.lagou.com/comp..."
215,nlp算法,助成享技术部招聘,30k-60k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
五险一金，带薪年假，扁平化管理","
工作职责：
1.负责参与用户建模和数据挖掘，开发个性化推荐算法；
2.责猎聘网招聘推荐系统算法的研发、创新和优化；
岗位要求:
1.计算机、数学或统计等相关专业本科及以上学历，2年以上推荐系统相关工作经验
2.熟练掌握协同过滤、矩阵分解、FM等推荐算法
3.扎实的机器学习基础，有相关研究或工程经验
4.扎实的Linux系统编程基础，熟悉C++/Java/Python编程语言，有海量数据处理经验者优先
5.熟悉Hadoop、Spark
6.优秀的逻辑思维和独立思考能力
7.优秀的学习能力，分析和解决问题的能力
8.对技术和工作充满热情
9.具备良好的沟通能力和团队合作精神","北京 - 朝阳区 - 望京 - 融新科技中心
","助成享
其他
D轮及以上
500-2000人
https://www.lagou.com/gon..."
216,自然语言处理研发工程师,知网招聘,10k-20k,/北京 /,经验1-3年 /,硕士及以上 /,全职,"
五险二金、年假、免费早午餐、住宿","
工作职责：
1.调研技术背景，理论学习；
2.结合自然语言处理技术，设计适当的实施算法；
3.技术实现，算法实验；
4.产品发布，软件维护。

应聘要求：
1.计算机相关专业硕士及以上学历，理解各种常用的数据结构和算法，思维严谨灵活，具有较强的学习能力，良好的沟通和团队合作能力；
2.熟悉自然语言处理、机器学习、模式识别等常用算法，对NLP方向有浓厚兴趣；
3.熟练掌握C/C++编程语言；
4.了解数据库技术，有处理大规模数据的经验优先；
5.博士及以上学历优先录用，高薪聘用。","北京 - 海淀区 - 小营 - 西小口路66号东升科技园A2楼
","知网
移动互联网,电商
上市公司
2000人以上
http://www.cnki.net"
217,NLP算法工程师,MDC招聘,16k-25k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
五险一金 商业保险 发展空间大","
【岗位职责】
1、研发客服类NLP基础词、句、篇章语法与语义分析算法，包括但不限于分词、词性标注、命名实体识别、依存分析、语义角色标注、主题模型等；
2、运用NLP与机器学习算法开发文本挖掘、信息抽取、预测分析、阅读理解等高级功能；
3、能够根据项目需要，运用NLP与机器学习算法进行相关项目开发，如文本分析、对话系统、产品推荐、知识图谱等，并根据不同的产品属性进行算法的优化；

【任职要求】
1、3年以上NLP相关经验；在机器学习、计算机视觉、数据挖掘等相关方向拥有扎实的理论基础；
2、熟悉业界主流的NLP算法工具，能基于此类工具进行算法再开发与调优；
3、具备机器学习强化学习、深度学习算法、信息检索等方面的研发经验和基础；
4、精通python或Java或C++，熟悉常用数据结构；
5、有过文本挖掘、问答系统、知识图谱、推荐系统相关的研发经验者优先；
6、良好的沟通和团队协作能力，较强的动手与逻辑分析能力。
ps：有做过语音类客服系统经验者优先考虑。
福利：五险一金、补充医疗保险、定期体检、节日福利、带薪年假、扁平管理、技能培训、员工旅游、弹性工作。","上海 - 杨浦区 - 四平路 - 赤峰路63号设计大楼20层
","MDC
移动互联网
B轮
50-150人
http://www.mdc.cn"
218,11122J-LT-312-NLP算法工程师,平安科技平安科技智能引擎部招聘,25k-50k,/深圳 /,经验3-5年 /,硕士及以上 /,全职,"
带薪年假,定期体检,员工旅游,节日福利","
工作职责
【语音识别方向】
1、 参与平安业务相关的文本分类、命名实体识别，文本相似性，语言模型，情感分析，用户行为分析等相关NLP工作；
2、 跟进NLP领域前沿技术，对现有产品和技术方案进行持续改进，同时探讨和开发新的产品。
【知识图谱方向】
1、负责大规模文本信息挖掘和分类、语义理解、智能问答、信息提取等，并应用于实际场景；
2、负责金融、法律等领域知识图谱以及事理图谱的构建；
3、探索业界前沿方法，并提升现有NLP能力。
【对话机器人方向】
1、基于机器学习, 并结合现有的自然语言处理技术，研发文本近似、信息抽取、关系推断、阅读理解、智能聊天机器人等的解决方案；
2、实现产品解决方案，进行效果调优；
3、发布相关产品，不断迭代产品效果。
任职要求
【语音识别方向】
1、至少在以下领域有过研究或工程经验：文本分类、知识图谱、文本挖掘、文本相似性、命名实体识别、分词、信息检索、Q&A、机器翻译；
3、熟悉常见NLP相关模型，如HMM、EM、LDA等；熟悉深度学习相关技术，如句向量、CNN、RNN、LSTM等模型；
4、熟悉 Java、C/C++、Python其中一种开发语言，有数据结构与算法的基础。
【知识图谱方向】
1、具备机器学习/数据挖掘理论和技术基础；
2、有丰富的中文NLP、QA、知识图谱、事理图谱、机器翻译、阅读理解、信号处理等项目经验，基础扎实，编码能力强；
3、为人踏实靠谱，具备较强的团队协作沟通和领导能力，积极主动，勇于探索新技术。
【对话机器人方向】
1、熟悉NLP、机器学习、模式识别等常用算法，熟悉NLP领域当前热点和前沿技术，熟练掌握C/C++编程语言和Python，Shell等脚本语言；
2、有相关项目经历，包文本分类、信息抽取、知识图谱、机器学习、自动摘要等，有深度学习背景最佳；
3、较强的分析解决问题能力、沟通表达和团队协作。

统一要求：硕士及以上学历，计算机相关专业。","深圳 - 南山区 - 嘉联支付大厦
","平安科技
金融
不需要融资
2000人以上
http://tech.pingan.com/in..."
219,高级NLP/推荐算法工程师,粉笔网招聘,30k-50k,/北京 /,经验3-5年 /,硕士及以上 /,全职,"
技术大牛多,福利待遇好","
工作职责：
1．负责智能批改中英文主观题和作文自动批改，用最前沿的机器学习算法攻克智能批改难题
2．分析海量用户做题和买课听课行为，增加有效的特征，挖掘用户兴趣，优化排序机制；
3．应用业界前沿的算法，优化召回和排序模型，提升分发效率和用户体验
4．搭建高性能的推荐算法服务框架，提升算法的计算规模和性能
  任职要求：
1．至少2年的相关项目经验，包括但不限于个性化推荐系统、意图识别、情感分析、计算广告、机器翻译、对话系统等相关领域
2．在深度学习领域有较丰富的研究与实践经验，熟练使用tensorflow、pytorch，有cnn、rnn、transformer、deepfm或者wide&deep等模型的落地经验
3．除了优秀的研究能力，还希望你具有较强的编程能力，熟悉hadoop、spark等
4．对技术始终保持高度热情，跟进学术界和工业界的最新发展，对挑战充满激情
5．具有较强的技术洞察力、优秀的产品意识和分析业务问题的能力


公司待遇：丰厚的补助，每年带薪出国旅游、每月聚餐，周边旅游、观看球赛、话剧等小型活动；除五险一金外，公司为员工缴纳医疗补充、30w定期寿险、30w重大疾病、30w意外险，日常免费健身、看电影、水果零食、生日礼金等，员工福利健全，薪酬待遇属行业内中高水平。","北京 - 朝阳区 - 望京sohoT3-B区28层
","粉笔网
移动互联网,教育
不需要融资
150-500人
http://www.fenbi.com"
